Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day
Summit Studio,Fraser Road Area,No Reviews,Photo + Video,"70,000",per day,None
Club Clicks Photography,Patliputra Colony,No Reviews,Photo + Video,"25,000",per day,None
Chitra Chhaya Digital Studio,Rukanpura,No Reviews,Photo + Video,"50,000",per day,None
Sangam Studio,Danapur,No Reviews,Photo + Video,"50,000",per day,None
Photo House Patna,Anandpuri,No Reviews,Photo + Video,"30,000",per day,None
Prowess Studio,Phulwari Sharif,No Reviews,Photo + Video,"85,000",per day,None
Two Brothers Studio,Ramkrishan Nagar,No Reviews,Photo + Video,"1,30,000",per day,None
Aarohi Digital,Gardanibagh,No Reviews,Photo + Video,"30,000",per day,None
Om Shree Video,Gardanibagh,No Reviews,Photo + Video,"30,000",per day,None
Unique Video Mixing Lab,Gardanibagh,No Reviews,Photo + Video,"30,000",per day,None
Pixul Studios,Gardanibagh,No Reviews,Photo + Video,"40,000",per day,None
HS Film Patna,Anandpuri,No Reviews,Photo + Video,"50,000",per day,None
The Love Tales,Sadikpur,No Reviews,None,On Request,None,None
Wedding Jingles,Gardanibagh,No Reviews,Photo + Video,"51,000",per day,None
John Creed Photography,Patna,No Reviews,Photo + Video,"50,000",per day,None
Shruti Video Khagaria,Gardanibagh,No Reviews,Photo + Video,"1,20,000",per day,None
DreamArts Studio,3.9,Phulwari Sharif,8 reviews,Photo + Video,"50,000",per day
Sai Shraddha Solutions,Bakarganj,No Reviews,Photo Package,"50,000",per day,None
Ray Chowdhury Photographers,Danapur,No Reviews,Photo Package,"20,000",per day,None
Meow Studio by Saurav Anuraj,Kankarbagh,No Reviews,Photo + Video,"50,000",per day,None
Colorshot Photography,Danapur,No Reviews,Photo + Video,"45,000",per day,None
Bandhan Lab,Bakarganj,No Reviews,Photo + Video,"80,000",per day,None
Foto Kheecho By Sarwagya,Kidwaipuri,No Reviews,Photo + Video,"65,000",per day,None
Wedding Moment,Bakarganj,No Reviews,Photo + Video,"70,000",per day,None
Vivek Video & Mixing Lab,Patna,No Reviews,Photo + Video,"35,000",per day,None
Dream Wedding Studios,Patliputra Colony,No Reviews,Photo + Video,"35,000",per day,None
Chimera Replica,Rukanpura,No Reviews,Photo + Video,"55,000",per day,None
Fusion Studio,Kankarbagh,No Reviews,Photo + Video,"65,000",per day,None
Zorean's Click Studio,Patna,No Reviews,Photo + Video,"35,000",per day,None
New Tej Chhaya Studio,Patna,No Reviews,Photo + Video,"1,00,000",per day,None
FOTO ART,Patliputra Colony,No Reviews,Photo + Video,"85,000",per day,None
Photoshine Studio,Danapur,No Reviews,Photo + Video,"45,000",per day,None
KUMaaR Photography by Kumar Gautam,Kankarbagh,No Reviews,Photo + Video,"30,000",per day,None
Group Art Studio,Patna,No Reviews,Photo + Video,"50,000",per day,None
Bombay Photography Studio,Patliputra Colony,No Reviews,Photo + Video,"45,000",per day,None
FotoZone by Sahil Singh,Rajendra Nagar,No Reviews,Photo + Video,"65,000",per day,None
Deep Studio,Bakarganj,No Reviews,Photo + Video,"26,000",per day,None
Yellow Studios,Rukanpura,No Reviews,Photo + Video,"23,000",per day,None
KPM Lab & Photography,Bakarganj,No Reviews,Photo + Video,"45,000",per day,None
Sachin Photo House,Danapur,No Reviews,Photo + Video,"50,000",per day,None
Ansh Studio,Patliputra Colony,No Reviews,Photo + Video,"50,000",per day,None
Shree Studio,Patliputra Colony,No Reviews,Photo + Video,"20,000",per day,None
Viewfinder,Anandpuri,No Reviews,Photo + Video,"55,000",per day,None
Aakarshan Studio,Patna,No Reviews,Photo + Video,"45,000",per day,None
Reflection Studio,Patliputra Colony,No Reviews,Photo + Video,"30,000",per day,None
Studio 361 Degree,Patna,No Reviews,Photo + Video,"70,000",per day,None
Rishtey Yaadein Studio,Patna,No Reviews,Photo + Video,"25,000",per day,None
Harsh Kumar Photography,Gardanibagh,No Reviews,Photo + Video,"1,20,000",per day,None
OP Creative Wedding Photography,Patliputra Colony,No Reviews,Photo + Video,"75,000",per day,None
SANGEET STUDIO,Bakarganj,No Reviews,Photo + Video,"20,000",per day,None
Ankit Photo Studio,Patna,No Reviews,Photo + Video,"33,000",per day,None
Wedding Film's,Danapur,No Reviews,Photo + Video,"50,000",per day,None
Studio Candy,Sadikpur,No Reviews,Photo + Video,"55,000",per day,None
Touch N Feel,Rukanpura,No Reviews,Photo + Video,"38,000",per day,None
Studio J.K. Digital,Rajendra Nagar,No Reviews,Photo + Video,"50,000",per day,None
Special Moments Studio,Bakarganj,No Reviews,Photo + Video,"25,000",per day,None
Wedding Mirchi,Kumhrar,No Reviews,Photo + Video,"40,000",per day,None
Blow Up Studio,Rukanpura,No Reviews,Photo + Video,"55,000",per day,None
Suchitra Films,Gardanibagh,No Reviews,Photo + Video,"17,500",per day,None
Shining Frame,Rukanpura,No Reviews,Photo + Video,"1,70,000",per day,None
Roy Video Vision,Rukanpura,No Reviews,Photo + Video,"35,000",per day,None
Imprint,Sadikpur,No Reviews,Photo + Video,"40,000",per day,None
Lucky Studio,Patna,No Reviews,Photo + Video,"35,000",per day,None
Swarn Sadhna Films,Gardanibagh,No Reviews,Photo + Video,"33,000",per day,None
AnmolGraphy,Muhammadpur,No Reviews,Photo + Video,"38,000",per day,None
WeClik,Rukanpura,No Reviews,Photo + Video,"50,000",per day,None
Chitrasangam Studio,Rukanpura,No Reviews,Photo + Video,"45,000",per day,None
JS Digital Patna,Fraser Road Area,No Reviews,Photo + Video,"50,000",per day,None
Menka Studio,Patna,No Reviews,Photo + Video,"80,000",per day,None
The Snapbook,Gardanibagh,No Reviews,Photo + Video,"20,000",per day,None
Unique Photo Studio,Rajendra Nagar,No Reviews,Photo + Video,"60,000",per day,None
Uma Studio,Bakarganj,No Reviews,Photo + Video,"26,000",per day,None
Cambeen Studios,0.5,Rukanpura,1 review,Photo + Video,"43,000",per day
Zoom Photo,Danapur,No Reviews,Photo + Video,"45,000",per day,None
Wedding Babu,Bakarganj,No Reviews,Photo Package,"20,000",per day,None
Tasveer Photo Booth,Ramkrishan Nagar,No Reviews,Photo + Video,"50,000",per day,None
Bihar Wedding Photography,Patna,No Reviews,Photo + Video,"40,000",per day,None
Tulsi Studio,Sadikpur,No Reviews,Photo + Video,"21,000",per day,None
