Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
MK Photography,Salem,No Reviews,Photo + Video,"35,000",per day,None,,,https://www.instagram.com/mkphoto__/?hl=en,https://www.facebook.com/kenkenphotography/,
Gopuram Studioo,Salem,No Reviews,Photo + Video,"35,000",per day,None,,,None,None,
King Digital Studio,Salem,No Reviews,Photo + Video,"90,000",per day,None,,,None,https://www.facebook.com/KING-Digital-Studio-313425552072032/,
Saraswathi Hi Tech Digital Studio,Salem,No Reviews,Photo + Video,"75,000",per day,None,,,None,https://en-gb.facebook.com/pages/category/Photography-Videography/Saraswathi-Hi-Tech-Digital-Studio-166614940657982/,
OTG Studios Wedding,Salem,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/otg_photography/?hl=en,https://www.facebook.com/otgstudioswedding/,
Govindaraju Studios - Nirmal Photography,Salem,No Reviews,Photo + Video,"30,000",per day,None,,,None,https://www.facebook.com/GovindarajuStudios/,
Eye Point Photography,Salem,No Reviews,Photo + Video,"90,000",per day,None,,,https://www.instagram.com/eyepointphotography/,https://www.facebook.com/eyepointphotograp/,
Deva Photography,Salem,No Reviews,Photo + Video,"28,000",per day,None,,,https://www.instagram.com/fotodeva/,https://www.facebook.com/devaphotography9/,
Vewac Photography,Salem,No Reviews,Photo + Video,"80,000",per day,None,,,https://www.instagram.com/vewacphotography/?hl=en,https://www.facebook.com/Vewacphotography/,
Focus Studio,Salem,No Reviews,Photo + Video,"55,000",per day,None,,,None,https://www.facebook.com/FocuStudio/,
Murugalaya Photography,Salem,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/sasikumar_mayadhara/,https://www.facebook.com/murugalayaphotography/posts,
Ownway Photography,Salem,No Reviews,Photo + Video,"30,000",per day,None,,,None,https://www.facebook.com/pages/category/Photographer/Ownway-Photography-818564421832384/,
Rising Sun Photography,Salem,No Reviews,Photo + Video,"30,000",per day,None,,,None,https://www.facebook.com/pages/category/Photographer/The-Rising-Sun-Photography-1474549735964579/,
DIGI Studio,Salem,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/digi_studio/?hl=en,https://www.facebook.com/kamaldigistudio,
Shady Photography,0.5,Salem,1 review,Photo + Video,"30,000",per day,,,https://www.instagram.com/shadyfarphotography/?hl=en,https://www.facebook.com/ShadyPhotography2014/,
Cine Digitals Photography,Salem,No Reviews,Photo + Video,"45,000",per day,None,,,https://www.instagram.com/luxmidigitalstudio/?hl=en,https://www.facebook.com/cinefocusservces/,
Ravi Foto Factory & Wedding Film Media,Salem,No Reviews,Photo + Video,"45,000",per day,None,,,None,https://www.facebook.com/PhotoFactoryWeddings/,
SSV Photography,Salem,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/ssvphotography_/?igshid=1ujq7fobcgqu4&hl=en,https://www.facebook.com/ssvphotography/,
Vintage Vision Studioz,Salem,No Reviews,Photo + Video,"57,000",per day,None,,,None,https://www.facebook.com/vintagevisionstudioz/,
Elas Studio,Salem,No Reviews,Photo + Video,"70,000",per day,None,,,https://www.instagram.com/elassalao/?hl=en,https://www.facebook.com/elastudios/,
SVK Photography,Salem,No Reviews,Photo + Video,"35,000",per day,None,,,https://www.instagram.com/thesvkphotographys/?hl=en,https://www.facebook.com/svkstudios/,
Rhaavan Photography,Salem,No Reviews,Photo + Video,"80,000",per day,None,,,None,https://www.facebook.com/pages/category/Makeup-Artist/harshinimothiram/posts/,
Sundaram Studio,Salem,No Reviews,Photo + Video,"35,000",per day,None,,,https://www.instagram.com/sundaram_studio/?hl=en,https://www.facebook.com/Sundaram-Studio-1001753706531530/posts,
DSC Events & Photography,Salem,No Reviews,Photo + Video,"70,000",per day,None,,,None,None,
Sivan Films,Salem,No Reviews,Photo + Video,"55,000",per day,None,,,None,None,
GS Photography,Salem,No Reviews,Photo + Video,"65,000",per day,None,,,https://www.instagram.com/g.s.photographer/?hl=en,https://www.facebook.com/gsphotography4925/,
GB Photography Gowtham Balaji,Salem,No Reviews,Photo + Video,"70,000",per day,None,,,None,https://www.facebook.com/GBPhotographyGowthamBalaji,
The Magic Hues Photography,Salem,No Reviews,Photo + Video,"60,000",per day,None,,,None,https://www.facebook.com/TheMagicHuesPhotography/,
