Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Kashmir Wedding Frames,Srinagar,No Reviews,Photo + Video,"35,000",per day,None,,,https://www.instagram.com/kashmir_wedding_frames/?hl=en,https://www.facebook.com/kashmirweddingframes/,
Ashish Portfolios,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,None,https://www.facebook.com/portfoliosashish/,
Pammy Studio,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,None,https://www.facebook.com/pammystudio/,
Kashmir Wedding Videography,Srinagar,No Reviews,Photo + Video,"25,000",per day,None,,,None,https://www.facebook.com/kashmirweddingvideography/,
Jhelum Films,Srinagar,No Reviews,Photo + Video,"1,15,000",per day,None,,,https://www.instagram.com/jhelumfilms/?hl=en,https://www.facebook.com/jhelumfilms/about/,
Wedding Dreams,Srinagar,No Reviews,Photo + Video,"35,000",per day,None,,,None,None,
Kabli's Foto Art,Srinagar,No Reviews,Photo + Video,"35,000",per day,None,,,None,https://www.facebook.com/Kablis-Foto-Art-147093352139995/,
Filmistan Studio,Srinagar,No Reviews,Photo + Video,"30,000",per day,None,,,None,None,
Waseem Digital Studio,Srinagar,No Reviews,Photo + Video,"35,000",per day,None,,,None,https://www.facebook.com/pages/category/Personal-Blog/Waseem-digital-studio-101862988373358/,
Brand Studio,Srinagar,No Reviews,Photo + Video,"45,000",per day,None,,,None,https://www.facebook.com/wearebrandstudio/,
A. K Digital Video Lab,Srinagar,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/shree_ganesh_video_lab/?hl=en,https://www.facebook.com/A-K-Digital-Video-Lab-1810861982313183/posts,
Friends Digital Photo Studio,Srinagar,No Reviews,Photo + Video,"45,000",per day,None,,,None,https://www.facebook.com/FriendsStudioPatiala/,
Singh Digital Studio Baramulla,Srinagar,No Reviews,Photo + Video,"35,000",per day,None,,,None,https://www.facebook.com/pages/category/Business-Service/Singh-Digital-Studio-Baramulla-1162703320439337/,
Ayesha Digital Color Lab,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,None,https://www.facebook.com/pages/category/Photography-Videography/Ayesha-digital-colour-lab-849950731831662/,
Mir Video's & Studio,Srinagar,No Reviews,Photo + Video,"40,000",per day,None,,,https://www.instagram.com/aamir_o_mir/,None,
