Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Aashi Studio Production,Gwalior,No Reviews,Photo + Video,"60,000",per day,None,,,None,https://www.facebook.com/pages/category/Photography-Videography/Aashi-studio-production-102305374615211/,
Krishna Album,Morar,No Reviews,Photo + Video,"60,000",per day,None,,,None,None,
Ram Photography,Gwalior,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/ram.photography/?hl=en,https://www.facebook.com/ramphotographyhyd/,
Obscura Studios,Thatipur,No Reviews,Photo + Video,"35,000",per day,None,,,https://www.instagram.com/theobscurastudios/?hl=en,https://www.facebook.com/theobscurastudios/,
Rohit Photoworks,Thatipur,No Reviews,Photo + Video,"1,20,000",per day,None,,,None,https://www.facebook.com/Rohit-photoworks-107569623942125/photos/,
Glamour Studio,Gwalior,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/era_the_glamourstudio/?hl=en,https://www.facebook.com/The-glamour-studios-114514443736926/?ref=py_c,
Rajeev Photography,Thatipur,No Reviews,Photo + Video,"33,000",per day,None,,,https://www.instagram.com/sarathrajeevphotography/?hl=en,https://www.facebook.com/rajeevphotography01/,
Sujan Studio,Gwalior,No Reviews,Photo + Video,"60,000",per day,None,,,None,https://www.facebook.com/sujanstudiogwalior/,
New View Production,Lashkar,No Reviews,Photo + Video,"50,000",per day,None,,,None,https://www.facebook.com/pages/category/Movie-Television-Studio/New-View-Productions-1565491203700708/,
Rexphotography,Daulat Ganj,No Reviews,Photo + Video,"65,000",per day,None,,,https://www.instagram.com/rexphotography.in/?hl=en,https://www.facebook.com/rexphotography.in,
Rachna Studio,Gwalior,No Reviews,Photo + Video,"60,000",per day,None,,,https://www.instagram.com/photorachnastudios_ggn/?hl=en,https://www.facebook.com/photorachna/posts/photo-rachna-studios-is-glad-to-present-the-pre-wedding-shoot-by-ace-photographe/1511488632279422/,
JD Photography,Thatipur,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/jd_photography.in/?hl=en,https://www.facebook.com/pages/category/Photographer/JD-Photography-352841015210647/,
N29 Photography,Lashkar,No Reviews,Photo Package,"20,000",per day,None,,,https://www.instagram.com/n29_photography/?hl=en,https://www.facebook.com/Creatingmemoriesforyou/,
